Gene symbol,UniProt Accession,Mitochondrial protein annotation type,UniProtKB/Swiss-Prot Annotation,GO_CC Annotation,GO_BP Annotation,PubMed,MitoCarta3.0 Annotation
ACADVL,P49748,Localized,https://www.uniprot.org/uniprotkb/P49748/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
ACAT1,P24752,Localized,https://www.uniprot.org/uniprotkb/P24752/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ACO1,P21399,Localized,,mitochondrion [GO:0005739],,,No
ACO2,Q99798,Localized,https://www.uniprot.org/uniprotkb/Q99798/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ACP6,Q9NPH0,Localized,https://www.uniprot.org/uniprotkb/Q9NPH0/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ACSF3,Q4G176,Localized,https://www.uniprot.org/uniprotkb/Q4G176/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ACSL1,P33121,Localized,https://www.uniprot.org/uniprotkb/P33121/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
ACSL3,O95573,Localized,https://www.uniprot.org/uniprotkb/O95573/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741],,,No
ACSL4,O60488,Localized,https://www.uniprot.org/uniprotkb/O60488/entry#subcellular_location ,mitochondria-associated endoplasmic reticulum membrane [GO:0044233]; mitochondrial outer membrane [GO:0005741],,,No
ACSS1,Q9NUB1,Localized,https://www.uniprot.org/uniprotkb/Q9NUB1/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ADCY10,Q96PN6,Localized,https://www.uniprot.org/uniprotkb/Q96PN6/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
ADPRS,Q9NX46,Localized,https://www.uniprot.org/uniprotkb/Q9NX46/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,No
AFG2A,Q8NB90,Localized,https://www.uniprot.org/uniprotkb/Q8NB90/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
AFG3L2,Q9Y4W6,Localized,https://www.uniprot.org/uniprotkb/Q9Y4W6/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
AGK,Q53H12,Localized,https://www.uniprot.org/uniprotkb/Q53H12/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721],,,Yes
AGPAT4,Q9NRZ5,Localized,,mitochondrial outer membrane [GO:0005741],,,Yes
AGTPBP1,Q9UPW5,Localized,https://www.uniprot.org/uniprotkb/Q9UPW5/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
AGXT,P21549,Localized,,,,,Yes
AIFM1,O95831,Localized,https://www.uniprot.org/uniprotkb/O95831/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
AIFM2,Q9BRQ8,Localized,https://www.uniprot.org/uniprotkb/Q9BRQ8/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
AK2,P54819,Localized,https://www.uniprot.org/uniprotkb/P54819/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; sperm mitochondrial sheath [GO:0097226],,,Yes
AK3,Q9UIJ7,Localized,https://www.uniprot.org/uniprotkb/Q9UIJ7/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
AK4,P27144,Localized,https://www.uniprot.org/uniprotkb/P27144/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
AKAP1,Q92667,Localized,https://www.uniprot.org/uniprotkb/Q92667/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
ALAS2,P22557,Localized,https://www.uniprot.org/uniprotkb/P22557/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ALDH18A1,P54886,Localized,https://www.uniprot.org/uniprotkb/P54886/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
ALDH1L2,Q3SY69,Localized,https://www.uniprot.org/uniprotkb/Q3SY69/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ALDH3A2,P51648,Localized,,,,,Yes
ALDH4A1,P30038,Localized,https://www.uniprot.org/uniprotkb/P30038/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ALDH5A1,P51649,Localized,https://www.uniprot.org/uniprotkb/P51649/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ALDH6A1,Q02252,Localized,https://www.uniprot.org/uniprotkb/Q02252/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ALDH7A1,P49419,Localized,https://www.uniprot.org/uniprotkb/P49419/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ALPL,P05186,Localized,https://www.uniprot.org/uniprotkb/P05186/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966],,,No
ALS2,Q96Q42,Associated/ancillary,,,,https://pubmed.ncbi.nlm.nih.gov/16670179/,No
AMACR,Q9UHK6,Localized,https://www.uniprot.org/uniprotkb/Q9UHK6/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
AMBP,P02760,Localized,https://www.uniprot.org/uniprotkb/P02760/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,No
AMT,P48728,Localized,https://www.uniprot.org/uniprotkb/P48728/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ANK2,Q01484,Localized,https://www.uniprot.org/uniprotkb/Q01484/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
APOO,Q9BUR5,Localized,https://www.uniprot.org/uniprotkb/Q9BUR5/entry#subcellular_location ,MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; SAM complex [GO:0001401],,,Yes
ARHGAP11B,Q3KRB8,Localized,https://www.uniprot.org/uniprotkb/Q3KRB8/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,No
ARL2,P36404,Localized,https://www.uniprot.org/uniprotkb/P36404/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ARL2BP,Q9Y2Y0,Localized,https://www.uniprot.org/uniprotkb/Q9Y2Y0/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759],,,No
ARMS2,P0C7Q2,Localized,,mitochondrion [GO:0005739],,,No
ATAD1,Q8NBU5,Localized,https://www.uniprot.org/uniprotkb/Q8NBU5/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741],,,Yes
ATAD3A,Q9NVI7,Localized,https://www.uniprot.org/uniprotkb/Q9NVI7/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
ATCAY,Q86WG3,Localized,https://www.uniprot.org/uniprotkb/Q86WG3/entry#subcellular_location ,mitochondrial membrane [GO:0031966],,,No
ATG13,O75143,Localized,,mitochondrion [GO:0005739],,,No
ATG4D,Q86TL0,Localized,https://www.uniprot.org/uniprotkb/Q86TL0/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,No
ATG7,O95352,Associated/ancillary,Required for mitophagy which contributes to regulate mitochondrial quantity and quality by eliminating the mitochondria to a basal level to fulfill cellular energy requirements and preventing excess ROS production. (https://www.uniprot.org/uniprotkb/O95352/entry),,,,No
ATP5F1A,P25705,Localized,https://www.uniprot.org/uniprotkb/P25705/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]",,,Yes
ATP5F1B,P06576,Localized,https://www.uniprot.org/uniprotkb/P06576/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]",,,Yes
ATP5F1C,P36542,Localized,https://www.uniprot.org/uniprotkb/P36542/entry#subcellular_location ,"membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrion [GO:0005739]",,,Yes
ATP5F1D,P30049,Localized,https://www.uniprot.org/uniprotkb/P30049/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrion [GO:0005739]",,,Yes
ATP5F1E,P56381,Localized,https://www.uniprot.org/uniprotkb/P56381/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]",,,Yes
ATP5MC1,P05496,Localized,https://www.uniprot.org/uniprotkb/P05496/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]",,,Yes
ATP5MC2,Q06055,Localized,https://www.uniprot.org/uniprotkb/Q06055/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]",,,Yes
ATP5MC3,P48201,Localized,https://www.uniprot.org/uniprotkb/P48201/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]",,,Yes
ATP5ME,P56385,Localized,https://www.uniprot.org/uniprotkb/P56385/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]",,,Yes
ATP5MF,P56134,Localized,https://www.uniprot.org/uniprotkb/P56134/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrion [GO:0005739]; nuclear membrane [GO:0031965]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]",,,Yes
ATP5MG,O75964,Localized,https://www.uniprot.org/uniprotkb/O75964/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]",,,Yes
ATP5PB,P24539,Localized,https://www.uniprot.org/uniprotkb/P24539/entry#subcellular_location ,"membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; nucleus [GO:0005634]",,,Yes
ATP5PD,O75947,Localized,https://www.uniprot.org/uniprotkb/O75947/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]; mitochondrion [GO:0005739]",,,Yes
ATP5PF,P18859,Localized,https://www.uniprot.org/uniprotkb/P18859/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]",,,Yes
ATP5PO,P48047,Localized,https://www.uniprot.org/uniprotkb/P48047/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]; mitochondrion [GO:0005739]",,,Yes
ATP7B,P35670,Localized,https://www.uniprot.org/uniprotkb/P35670/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
ATPAF2,Q8N5M1,Localized,https://www.uniprot.org/uniprotkb/Q8N5M1/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
AUH,Q13825,Localized,https://www.uniprot.org/uniprotkb/Q13825/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
BAG3,O95817,Associated/ancillary,,,,https://pubmed.ncbi.nlm.nih.gov/27381181/,No
BAX,Q07812,Localized,https://www.uniprot.org/uniprotkb/Q07812/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrial permeability transition pore complex [GO:0005757]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635],,,Yes
BCAT2,O15382,Localized,https://www.uniprot.org/uniprotkb/O15382/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
BCKDHA,P12694,Localized,https://www.uniprot.org/uniprotkb/P12694/entry#subcellular_location ,mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
BCKDHB,P21953,Localized,https://www.uniprot.org/uniprotkb/P21953/entry#subcellular_location ,mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
BCKDK,O14874,Localized,https://www.uniprot.org/uniprotkb/O14874/entry#subcellular_location ,mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
BCL2,P10415,Localized,https://www.uniprot.org/uniprotkb/P10415/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
BCL2L11,O43521,Localized,https://www.uniprot.org/uniprotkb/O43521/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
BCS1L,Q9Y276,Localized,https://www.uniprot.org/uniprotkb/Q9Y276/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739],,,Yes
BDH1,Q02338,Localized,https://www.uniprot.org/uniprotkb/Q02338/entry#subcellular_location ,matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
BID,P55957,Localized,https://www.uniprot.org/uniprotkb/P55957/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
BNIP3,Q12983,Localized,https://www.uniprot.org/uniprotkb/Q12983/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
BOLA3,Q53S33,Localized,https://www.uniprot.org/uniprotkb/Q53S33/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
BRAF,P15056,Localized,,mitochondrion [GO:0005739],,,No
BRAT1,Q6PJG6,Localized,Plays a role in regulating mitochondrial function and cell proliferation (https://www.uniprot.org/uniprotkb/Q6PJG6/entry),,mitochondrion localization [GO:0051646],,No
BTD,P43251,Localized,,mitochondrial matrix [GO:0005759],,,No
C19orf12,Q9NSK7,Localized,https://www.uniprot.org/uniprotkb/Q9NSK7/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,No
C1QBP,Q07021,Localized,https://www.uniprot.org/uniprotkb/Q07021/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
C2orf69,Q8N8R5,Localized,https://www.uniprot.org/uniprotkb/Q8N8R5/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; respirasome [GO:0070469],,,Yes
CA5A,P35218,Localized,https://www.uniprot.org/uniprotkb/P35218/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
CARS2,Q9HA77,Localized,https://www.uniprot.org/uniprotkb/Q9HA77/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
CASP8,Q14790,Localized,,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
CASP8AP2,Q9UKL3,Localized,https://www.uniprot.org/uniprotkb/Q9UKL3/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
CASP9,P55211,Localized,,mitochondrion [GO:0005739],,,Yes
CASQ1,P31415,Localized,https://www.uniprot.org/uniprotkb/P31415/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,No
CAT,P04040,Localized,,mitochondrion [GO:0005739],,,Yes
CAVIN1,Q6NZI2,Localized,https://www.uniprot.org/uniprotkb/Q6NZI2/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
CCDC51,Q96ER9,Localized,https://www.uniprot.org/uniprotkb/Q96ER9/entry#subcellular_location ,mitochondrial ATP-gated potassium channel complex [GO:0062157]; mitochondrial inner membrane [GO:0005743],,,Yes
CDK1,P06493,Localized,https://www.uniprot.org/uniprotkb/P06493/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,No
CDKN2A,Q8N726,Localized,https://www.uniprot.org/uniprotkb/Q8N726/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,No
CHCHD10,Q8WYQ3,Localized,https://www.uniprot.org/uniprotkb/Q8WYQ3/entry#subcellular_location ,MICOS complex [GO:0061617]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
CHCHD2,Q9Y6H1,Localized,https://www.uniprot.org/uniprotkb/Q9Y6H1/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
CHCHD3,Q9NX63,Localized,https://www.uniprot.org/uniprotkb/Q9NX63/entry#subcellular_location ,MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; SAM complex ,,,Yes
CHCHD4,Q8N4Q1,Localized,https://www.uniprot.org/uniprotkb/Q8N4Q1/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
CHDH,Q8NE62,Localized,https://www.uniprot.org/uniprotkb/Q8NE62/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,Yes
CISD1,Q9NZ45,Localized,https://www.uniprot.org/uniprotkb/Q9NZ45/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
CISD2,Q8N5K1,Localized,https://www.uniprot.org/uniprotkb/Q8N5K1/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741],,,No
CKB,P12277,Localized,https://www.uniprot.org/uniprotkb/P12277/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
CKMT2,P17540,Localized,https://www.uniprot.org/uniprotkb/P17540/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
CLIC4,Q9Y696,Localized,https://www.uniprot.org/uniprotkb/Q9Y696/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
CLN8,Q9UBY8,Localized,,mitochondrion [GO:0005739],,,No
CLPB,Q9H078,Localized,https://www.uniprot.org/uniprotkb/Q9H078/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
CLPP,Q16740,Localized,https://www.uniprot.org/uniprotkb/Q16740/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
CLPX,O76031,Localized,https://www.uniprot.org/uniprotkb/O76031/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
COA3,Q9Y2R0,Localized,https://www.uniprot.org/uniprotkb/Q9Y2R0/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
COA4,Q9NYJ1,Localized,https://www.uniprot.org/uniprotkb/Q9NYJ1/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
COA5,Q86WW8,Localized,,mitochondrion [GO:0005739],,,Yes
COA6,Q5JTJ3,Localized,https://www.uniprot.org/uniprotkb/Q5JTJ3/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277],,,Yes
COA7,Q96BR5,Localized,https://www.uniprot.org/uniprotkb/Q96BR5/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
COA8,Q96IL0,Localized,https://www.uniprot.org/uniprotkb/Q96IL0/entry#subcellular_location ,matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrion [GO:0005739],,,Yes
COASY,Q13057,Localized,https://www.uniprot.org/uniprotkb/Q13057/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741],,,Yes
COL6A2,P12110,Localized,,,,https://pubmed.ncbi.nlm.nih.gov/16823967/,No
COMT,P21964,Localized,,,,,Yes
COQ2,Q96H96,Localized,https://www.uniprot.org/uniprotkb/Q96H96/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,Yes
COQ4,Q9Y3A0,Localized,https://www.uniprot.org/uniprotkb/Q9Y3A0/entry#subcellular_location ,extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
COQ5,Q5HYK3,Localized,https://www.uniprot.org/uniprotkb/Q5HYK3/entry#subcellular_location ,extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759],,,Yes
COQ6,Q9Y2Z9,Localized,https://www.uniprot.org/uniprotkb/Q9Y2Z9/entry#subcellular_location ,extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
COQ7,Q99807,Localized,https://www.uniprot.org/uniprotkb/Q99807/entry#subcellular_location ,extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
COQ8A,Q8NI60,Localized,https://www.uniprot.org/uniprotkb/Q8NI60/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
COQ8B,Q96D53,Localized,https://www.uniprot.org/uniprotkb/Q96D53/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
COQ9,O75208,Localized,https://www.uniprot.org/uniprotkb/O75208/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
COX10,Q12887,Localized,https://www.uniprot.org/uniprotkb/Q12887/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
